source,author,title,description,content,publishedAt,url
InsideClimate News,Inside Climate News,Droughts likely to be even longer in the future due to climate change,Major climate reports may be underselling the risks of rising emissions.,"32
Droughts in the coming decades could be longer than projected by current climate models, a new study published Wednesday in Nature warns.
The international team of scientists examined potential … [+3356 chars]",2024-09-19T13:56:02Z,https://insideclimatenews.org/news/18092024/major-climate-reports-may-be-underestimating-drought-flood-risks/
NPR,The NPR Network,Hungry for new podcasts? Here are 8 episodes about how climate change affects our food,"Add these episodes to your listening rotation during the NPR Network's Climate Solutions Week, where we're dedicated to stories and conversations about the search for climate solutions.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Looking for solutions to our food n… [+3893 chars]",2024-09-09T18:00:00Z,https://www.npr.org/2024/09/09/g-s1-20267/best-podcasts-food-climate
Gizmodo.com,Lucas Ropek,Judge Throws the Book at Climate Activists Who Threw Soup on Van Gogh Painting,"Tossing a can of soup at a priceless work of art will get you time in the slammer, apparently.","The two environmental activists who threw a can of tomato soup on Vincent Van Gogh’s “Sunflowers” painting have been sentenced to two years in prison.
In October of 2022, Phoebe Plummer, then 21, an… [+2699 chars]",2024-09-27T20:30:17Z,https://gizmodo.com/judge-throws-the-book-at-climate-activists-who-threw-soup-on-van-gogh-painting-2000504504
NPR,NPR,Climate Solutions Week: The future of food,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions, from how we farm to what we cook to reducing food waste.","September 9-15, 2024
Climate experts say when it comes to global warming, pay attention to what we eat. Food and agriculture make up more than 25% of the pollution that heats our planet. What's driv… [+789 chars]",2024-09-06T16:48:31Z,https://www.npr.org/2024/09/06/g-s1-19303/food-climate-solutions
Business Insider,Catherine Boudreau,Climate crisis is helping spread deadly mosquito viruses in the US,Mosquito-borne illnesses like triple E and West Nile are rising due to climate change and travel.,"Multiple mosquito-borne illnesses are on the rise in the US, including triple E and West Nile.Soumyabrata Roy/Getty Images.
<ul><li>Mosquito-borne illnesses are rising in the US, including triple E,… [+3158 chars]",2024-09-05T13:35:50Z,https://www.businessinsider.com/west-nile-triple-e-mosquito-virus-diseases-us-2024-9
NPR,Brittney Melton,"Harris and Trump’s post-debate plans. And, why climate change puts chocolate at risk","Former President Donald Trump and Vice President Harris are campaigning in swing states heavily post their first presidential debate. And, why climate change could put chocolate in danger.","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6113 chars]",2024-09-13T12:05:15Z,https://www.npr.org/2024/09/13/g-s1-22506/up-first-newsletter-harris-trump-campaign-swing-states-climate-change-chocolate
Harvard Business Review,"Solitaire Townsend, Kaya Axelsson","To Incentivize Companies to Address Climate Change, Measure Their Broader Impact","Current climate reporting focuses primarily on reducing carbon emissions within companies’ direct operations and value chains, often overlooking the broader impact businesses can have on society. This narrow approach fails to recognize or reward companies for…","Current climate reporting focuses primarily on reducing carbon emissions within companies’ direct operations and value chains, often overlooking the broader impact businesses can have on society. Thi… [+654 chars]",2024-09-06T14:00:00Z,https://hbr.org/2024/09/to-incentivize-companies-to-address-climate-change-measure-their-broader-impact
NPR,The NPR Network,How we grow food affects the climate. Here are solutions communities are taking to help,We've gathered examples from across the NPR Network of how we can change the food we grow to support climate goals.,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
As NPR's climate solutions reporter… [+4249 chars]",2024-09-14T18:00:00Z,https://www.npr.org/2024/09/14/g-s1-22158/climate-food-farming-solution
NPR,Manola Secaira,California farmers turn to agave amid drought conditions and climate change,Farmers in California are trying to plant crops that don't require a lot of water. Some are turning to growing agave as a response to a warming state.,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Most of the United States' fruits a… [+12610 chars]",2024-09-09T10:00:00Z,https://www.npr.org/2024/09/06/nx-s1-5002056/california-farmers-agave-drought-conditions-climate-change
NPR,Anna Canny,Climate change makes farming easier in Alaska. Indigenous growers hope to lead the way,Climate change threatens many traditional foods in Alaska. But it’s also making farming more possible. A new training program aims to help Alaska Native communities grow more of their own food.,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Growing up in rural Alaska, Eva Daw… [+8821 chars]",2024-09-13T16:01:47Z,https://www.npr.org/2024/09/13/nx-s1-5002049/climate-change-farming-alaska-native
NPR,Bill Chappell,"A landslide linked to climate change ‘rang’ the Earth for 9 days, researchers say","The scale of the geological event is like something from prehistoric times, with a tsunami 200 meters--656 feet--in height. But it happened last year. Researchers warn that similar events may reoccur.","The global seismic signal was extremely unusual, and it resonated for more than a week. So its no surprise that it grabbed the attention of researchers around the world. In the end, it took 68 expert… [+3233 chars]",2024-09-13T21:31:30Z,https://www.npr.org/2024/09/13/g-s1-22858/a-landslide-linked-to-climate-change-rang-the-earth-for-9-days-researchers-say
NPR,Alejandra Borunda,Europe's intense rainfall in September twice as likely thanks to climate change,Extensive early warnings and years of adaptation made the floods less deadly than they otherwise might have been.,"Massive rainfall inundated parts of Central and Eastern Europe in mid-September, dumping as much as two-thirds of some cities annual rain in just a few days.
The rainfall from the weather system, ca… [+5353 chars]",2024-09-25T09:01:00Z,https://www.npr.org/2024/09/25/nx-s1-5123674/europes-intense-rainfall-in-september-twice-as-likely-thanks-to-climate-change
The Verge,Justine Calma,The UK helped usher in the coal era — now its closing its last remaining plant,The UK plans to close its last coal-fired power plant.,"The UK helped usher in the coal era now its closing its last remaining plant
The UK helped usher in the coal era now its closing its last remaining plant
 / The clock is ticking for the UKs last wo… [+3022 chars]",2024-09-23T18:05:30Z,https://www.theverge.com/2024/9/23/24252195/last-coal-power-plant-close-climate-change-clean-energy
NPR,Clare Marie Schneider,"State bans on commercial food waste have been largely ineffective, study finds","Much of the food supply in the U.S. goes uneaten, which contributes to climate change. Some states have tried to cut food waste in landfills, but their efforts have fallen short, researchers found.","In the U.S., more than a third of the food supply goes uneaten. The waste happens at multiple levels in the production and supply chain and is a big contributor to climate change.
Food that ends up … [+3332 chars]",2024-09-15T10:00:00Z,https://www.npr.org/2024/09/14/nx-s1-5112435/food-waste-bans-climate-change-study
Wired,"John Timmer, Ars Technica",The UK Has No Coal-Fired Power Plants for the First Time in 142 Years,"With Monday's closure of Ratcliffe-on-Soar, coal is no longer being used to provide electricity in the UK.","On Monday, the UK saw the closure of its last operational coal power plant, Ratcliffe-on-Soar, which has been operating since 1968. The closure of the plant, which had a capacity of 2,000 megawatts, … [+4069 chars]",2024-10-01T19:52:53Z,https://www.wired.com/story/uk-no-coal-fired-power-plants-first-time-in-142-years/
Time,Rebecca Schneid and Chantelle Lee,The Biggest Moments From the TIME100 Climate Leadership Forum,"TIME convened the first-ever TIME100 Climate Leadership Forum, featuring a series of conversations focused on driving real change toward a better, more sustainable world.","Climate leaders from various fields gathered for the inaugural TIME100 Climate Leadership Forum in New York City on Monday to discuss how icons, politicians, activists, policymakers, and business lea… [+5244 chars]",2024-09-24T03:55:00Z,https://time.com/7022337/climate-leadership-forum-biggest-moments/
Yahoo Entertainment,,Asheville tragedy shows there are no climate change safe havens: experts,,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-10-01T00:35:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_de038120-78ce-426c-85f1-e29a874fa744
Gizmodo.com,Adam Kovac,Chemists Finally Unravel the Mystery of Siberia’s Explosive Craters,"Underground methane blasts are behind Siberia’s puzzling exploding craters, according to new research.","If you need one more reason to worry about warming global temperatures, you can add the ground spontaneously blowing up to the list.
In 2014, a bizarre crater was found in Siberias Yamal Peninsula. … [+3422 chars]",2024-09-29T14:00:11Z,https://gizmodo.com/geologists-finally-unravel-the-mystery-of-siberias-explosive-craters-2000504596
Wired,Julian Chokkattu,Google Is ‘Thinking Through’ How to Make the Pixel Watch Repairable,"The current version of Google's smartwatch isn't repairable, but for the first time, the company is figuring out how to fix that.","If you break the Google Pixel Watchwhether the first-generation smartwatch from 2022 or the latest model launched earlier this monththere is no way to repair it through official channels. Instead, if… [+3553 chars]",2024-09-24T21:56:08Z,https://www.wired.com/story/google-is-thinking-through-the-pixel-watchs-design-to-be-repairable/
Github.io,Christopher Krapu,Solving climate change by abusing thermodynamic scaling laws,A wintertime climate change solution,"TL;DR: To stop climate change, just do this - raise crops for biomass (sequestering CO2) and freeze them in huge aboveground piles during winter by running pipes through the middle. With a little ins… [+18343 chars]",2024-09-29T06:17:54Z,https://ckrapu.github.io/blog/2024/why-dont-we-just-freeze-the-carbon/
Gizmodo.com,Matt Novak,Belief That EVs Are Better for the Environment Drops,"Back in 2022, 63% of Americans believed EVs were greener. Now it's 58%.","The number of Americans who believe electric vehicles are better for the environment than cars that run on fossil fuels has dipped 5% in the past two years, according to a new poll conducted by Ipsos… [+3561 chars]",2024-09-24T15:30:59Z,https://gizmodo.com/belief-that-evs-are-better-for-the-environment-drops-2000502376
Time,TIME PR,TIME Convenes Leaders Taking Action Toward A More Sustainable World at the Inaugural TIME100 Climate Leadership Forum,"The TIME100 Climate Leadership Forum Features Conversations with Jane Goodall, Jacinda Ardern, Michael S. Regan, Jennifer M. Granholm and More in New York City (New York, NY—September 23, 2024) Today, TIME convenes the first-ever TIME100 Climate Leadership Fo…","The TIME100 Climate Leadership Forum Features Conversations with Jane Goodall, Jacinda Ardern, Michael S. Regan, Jennifer M. Granholmand More in New York City
(New York, NYSeptember 23, 2024) Today,… [+4098 chars]",2024-09-23T13:10:00Z,https://time.com/7022739/time-convenes-inaugural-time100-climate-leadership-forum/
InsideClimate News,Inside Climate News,Americans misunderstand their contribution to deteriorating environment,A global survey suggests 88 percent of people are worried about the state of nature.,"Enlarge/ Power lines are cast in silhouette as the Creek Fire creeps up on on the Shaver Springs community off of Tollhouse Road on Tuesday, Sept. 8, 2020, in Auberry, California.
14
This article o… [+4947 chars]",2024-09-07T11:16:56Z,https://insideclimatenews.org/news/05092024/global-climate-concerns-survey/
RNZ,Eloise Gibson,Great Barrier Reef already been dealt its death blow,A leading climate scientists says it's just not possible for some ecosystems to adapt to climate change.,"The extensive bleaching of the Great Barrier Reef (pictured in April) was a ""death blow"" according to Dr Joëlle Gergis. Photo: DAVID GRAY / AFP
An Australian climate scientist has told a conference … [+2559 chars]",2024-09-09T15:29:23Z,https://www.rnz.co.nz/news/national/527469/great-barrier-reef-already-been-dealt-its-death-blow-scientist
The Verge,Justine Calma,"ExxonMobil deceived the public with plastic recycling, lawsuit claims",California filed suit against ExxonMobil after decades of promoting plastic recycling.,"Seal Beach, CA - December 13: Plastic bottles and other trash are piled up along the bank of the San Gabriel River just a few hundred yards from the Pacific Ocean. | Photo: Getty Images

 

 ExxonMo… [+4699 chars]",2024-09-23T21:30:56Z,https://www.theverge.com/2024/9/23/24252433/exxonmobil-knew-plastic-recycling-lawsuit-california
BBC News,,Rivals try to woo the Pacific as climate change bites,"As the US, China and UK try to woo Pacific Islands for geopolitical reasons, nations are more concerned about climate.","The Tongan capital Nukualofa was buzzing during the Pacific Islands Forum
Tongas sleepy capital Nukualofa was buzzing last week as leaders from across the Pacific region descended upon it for the an… [+6263 chars]",2024-09-04T21:59:40Z,https://www.bbc.com/news/articles/cvg5m13v9r2o
BBC News,,Climate change leaves future of Pacific Islands tourism 'highly uncertain',Tourist sector bosses in the region are increasingly concerned about the impact of climate change.,"Tourism boss Christopher Cocker says the impact of a climate change is the ""foremost threat""
The Pacific Islands are scattered across a vast area of ocean, with some of the clearest waters in the wo… [+6484 chars]",2024-09-08T23:33:29Z,https://www.bbc.com/news/articles/cp81l4gynljo
NPR,Danny McArthur,These small Black-owned farms are growing crops with the climate in mind,"Across the Gulf South, small Black-owned farms are finding ways to use climate-friendly practices to grow crops while also addressing long-standing injustices.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
A number of small Black-owned farms… [+6629 chars]",2024-09-12T10:00:00Z,https://www.npr.org/2024/09/12/nx-s1-5002077/small-black-owned-farms-climate-change-smart-agriculture
ABC News,Julia Jacobo,The debate proved that climate change is not at center of 2024 election: Experts,Climate change continues to remain on the backburner of the 2024 election following little mention of environmental policy during the first.,Climate change remains on the backburner of the 2024 election following little mention of environmental policy during the first -- and possibly only -- debate between the two presidential candidates.… [+5660 chars],2024-09-11T22:15:24Z,https://abcnews.go.com/US/presidential-debate-proved-climate-change-center-2024-election/story?id=113585193
Yahoo Entertainment,Reuters Videos,Belgian climate scientists grow the pears of the future,"STORY: A group of climate scientists in Belgium are currently exploring what the pears of the future might be like.""...the pears tend to be less firm and...","STORY: A group of climate scientists in Belgium are currently exploring what the pears of the future might be like.
""...the pears tend to be less firm and have more sugar.""
:: THIS EARTH
:: Maasme… [+2133 chars]",2024-09-25T09:50:44Z,https://www.yahoo.com/news/belgian-climate-scientists-grow-pears-095044724.html
ABC News,Julia Jacobo,How climate change is making Florida's Big Bend more vulnerable to tropical threats,Hurricane Helene is heading straight for one of the regions most vulnerable to the impact of hurricanes: Florida's Big Bend.,"Hurricane Helene is heading straight for one of the regions most vulnerable to hurricanes: Florida's Big Bend.
Helene is expected to make landfall as a dangerous major hurricane Thursday night near … [+5753 chars]",2024-09-26T23:40:59Z,https://abcnews.go.com/US/hurricane-helene-climate-change-making-floridas-big-bend/story?id=114183293
Time,Rebecca Schneid,How the Climate Museum Hopes Art Will Spur Action,A day at the Climate Museum during New York City's Climate Week reveals how the exhibits  imbue viewers with agency to interact with art.,"The first piece of art attendees will see as they head to the Climate Museums latest exhibit is a map of the world in black, white, and gray.
At first glance, the map presents which countries are pr… [+5373 chars]",2024-09-26T17:45:14Z,https://time.com/7024811/climate-museum-new-york-art-change/
Politicopro.com,"Scott Waldman, E&E News",Presidential Debate Features Fracking while Climate Change Is Mostly Ignored,Donald Trump all but ignored climate change at Tuesday’s presidential debate while Kamala Harris voiced support of both fossil fuels and increased clean energy spending,"CLIMATEWIRE | Vice President Kamala Harris finally mentioned the climate law she has pointedly avoided on the campaign trail — to prove she won't ban fracking.
“I have not banned fracking as vice pr… [+4807 chars]",2024-09-11T16:15:00Z,https://subscriber.politicopro.com/article/eenews/2024/09/11/harris-touts-climate-law-to-highlight-fracking-00178550
NPR,Kimberly Winston,A new kind of chaplain is helping people deal with 'climate grief',A new kind of spiritual advisor is rising among clergy trained in handling grief and other difficult emotions.,"TALENT, Ore. When Diane Wares home state of Oregon proposed a natural gas pipeline that threatened local waterways, she sprang into action leading workshops on lobbying state lawmakers, mentoring stu… [+11722 chars]",2024-09-06T09:51:00Z,https://www.npr.org/2024/09/06/nx-s1-5092402/eco-chaplains-helping-people-deal-with-climate-grief
NPR,Alejandra Borunda,These bakers want to make your bread tastier — with climate-resilient wheat,A team of scientists and bakers in the Pacific Northwest is searching for ways to make whole wheat bread resilient to a warming world — and more delicious.,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Its a drizzly, cold spring day outs… [+11702 chars]",2024-09-10T10:00:00Z,https://www.npr.org/2024/09/09/nx-s1-5002074/bread-flour-climate-change
Scientific American,Sherri Goodman,"We Must Secure Our Future in a Hotter, More Dangerous World",Defending the U.S. is much more complicated in an era of climate change,"Flying by helicopter over the Greenland ice sheet, I am struck by its vast expanse of whiteness. But as I look closer I see that much of the ice is dotted with bright blue pools. These pools reflect … [+6016 chars]",2024-09-09T11:00:00Z,https://www.scientificamerican.com/article/we-must-secure-our-future-in-a-hotter-more-dangerous-world/
NPR,Scott Neuman,Is getting food delivered worse for the climate? Sometimes it’s better,"From meal kits to grocery service to restaurant delivery, we look at the carbon footprint of convenient food and the choices people can make to try to reduce it. Sometimes there are trade-offs.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Theres a whiteboard on the refriger… [+9038 chars]",2024-09-11T10:00:00Z,https://www.npr.org/2024/09/10/nx-s1-5020321/food-delivery-meal-kits-carbon-footprint
Time,Rebecca Schneid,How Jacinda Ardern Sees Everyone as a Player in the Climate Fight,The former Prime Minister of New Zealand spoke about her “expectation bias” at the inaugural TIME100 Climate Leadership Forum.,"Jacinda Ardern, former Prime Minister of New Zealand, is prioritizing optimism in the movement to combat the climate crisisas well as expectation for leaders to do their jobs. If we resign ourselves … [+3863 chars]",2024-09-24T03:00:00Z,https://time.com/7022329/climate-leadership-forum-jacinda-ardern-new-zealand-expectation-bias/
Time,Harry Booth,Sasha Luccioni,"About 5 years ago, Sasha Luccioni was researching ways AI could help tackle climate change when a single question prompted her to rethink: What if AI was part of the problem? “Every time you do a Google search, you don’t know how much energy that’s using. Eve…","About 5 years ago, Sasha Luccioni was researching ways AI could help tackle climate change when a single question prompted her to rethink: What if AI was part of the problem? 
Every time you do a Go… [+1530 chars]",2024-09-05T11:24:03Z,https://time.com/7012753/sasha-luccioni/
The Atlantic,Karen Hao,Microsoft’s Hypocrisy on AI,Can artificial intelligence really enrich fossil-fuel companies and fight climate change at the same time? The tech giant says yes.,"Microsoft executives have been thinking lately about the end of the world. In a white paper published late last year, Brad Smith, the company’s vice chair and president, and Melanie Nakagawa, its chi… [+16127 chars]",2024-09-13T10:00:00Z,https://www.theatlantic.com/technology/archive/2024/09/microsoft-ai-oil-contracts/679804/
BBC News,,How the world’s smelliest fruit is making coffee more expensive,"A ""perfect storm"" of economic and environmental factors in coffee-producing regions is pushing up prices.","How much is too much for a caffeine fix?
Prices like £5 in London or $7 in New York for a cup of coffee may be unthinkable for some - but could soon be a reality thanks to a ""perfect storm"" of econo… [+5416 chars]",2024-09-15T02:33:23Z,https://www.bbc.com/news/articles/c5y37dvlr70o
The New Yorker,Rebecca Mead,Can Your Stomach Handle a Meal at Alchemist?,"At the Copenhagen restaurant, diners are served raw jellyfish—and freeze-dried lamb brain served in a fake cranium—while videos about climate change swirl on the ceiling. Is it “gastronomic opera,” or sensory overload?","Rasmus Munk, the celebrated Danish chef, has such memorable eyesthey are a piercing blue, and often bloodshotthat when a waiter at Alchemist, his restaurant in Copenhagen, served me an eyeball, I rec… [+17238 chars]",2024-09-23T10:00:00Z,https://www.newyorker.com/magazine/2024/09/30/can-your-stomach-handle-a-meal-at-alchemist
NPR,Rebecca Hersher,Abnormally warm water helped Helene rapidly intensify and suck up moisture,"Helene is dumping rain across the Southeast, after coming ashore as a powerful Category 4 storm. Abnormally warm water in the Gulf of Mexico helped it rapidly intensify and suck up moisture.","Follow NPR's live updates for the latest on the impact of Helene.
In the two days before it hit Florida, Hurricane Helene grew from a relatively weak tropical storm into a major Category 4 hurricane… [+1841 chars]",2024-09-27T16:01:46Z,https://www.npr.org/2024/09/27/nx-s1-5130849/helene-category-4-fast-warm-water-climate-change
BBC News,,More than 80 dead in Vietnam super typhoon,The most powerful storm to hit the country in 30 years has also left thousands stranded.,"At least 82 people have now died in Vietnam as a super typhoon which hit on Saturday continues to bring heavy rainfall, landslides and flooding.
Thousands of people were seen stranded on rooftops in… [+1785 chars]",2024-09-10T10:14:53Z,https://www.bbc.com/news/articles/cql3qvg3vk9o
Time,Chantelle Lee and Rebecca Schneid,How Public and Private Sector Leaders Are Tackling Climate Equity,"EPA Administrator Michael S. Regan, RISE St. James CEO Sharon Lavigne, and Apple executive Lisa Jackson spoke during a panel at the TIME100 Climate Leadership Forum.","Sharon Lavigne knows first-hand the effects of climate change. At the inaugural TIME100 Climate Leadership Forum in New York City on Monday, the founder, director, and CEO of the faith-based grassroo… [+3296 chars]",2024-09-24T04:30:00Z,https://time.com/7022333/climate-leadership-forum-equity/
CNN,"Laura Paddison, CNN",The controversial plan to turn a desert green,"A Dutch engineer wants to transform an expanse of arid land into green, fertile land teeming with wildlife — and in the process, change the weather","Ties van der Hoevens ambitions are nothing if not grand. The Dutch engineer wants to transform a huge stretch of inhospitable desert into green, fertile land teeming with wildlife.
His sights are se… [+9912 chars]",2024-09-08T13:00:21Z,https://www.cnn.com/2024/09/08/climate/regreen-desert-sinai-egypt/index.html
NPR,Nell Greenfieldboyce,Why the most climate-resistant glaciers are hiding in plain sight,"In the American West, white glaciers and snow fields are outnumbered by long-overlooked “rock glaciers.” The rock covering these vast hunks of ice makes them far less affected by warming temperatures.","In the Wasatch mountains near Salt Lake City, Utah, a popular hiking trail winds up through aspen and spruce trees to reach White Pine Lake.
Scott Hotaling is marching up this familiar path, but pas… [+7662 chars]",2024-09-30T18:54:32Z,https://www.npr.org/2024/09/30/nx-s1-5109050/climate-resistant-glaciers-hold-water-cooler-temperatues
The Verge,Jennifer Pattison Tuohy,Sleep Number’s newest smart bed aims to tackle night sweats,The company says its newest smart bed can actively cool and adapt to both sleepers’ temperature needs throughout the night.,"Sleep Numbers newest smart bed aims to tackle night sweats
Sleep Numbers newest smart bed aims to tackle night sweats
 / The ClimateCool can actively cool you and adjust to your temperature through… [+3346 chars]",2024-10-01T18:59:20Z,https://www.theverge.com/2024/10/1/24259440/sleep-number-climate-cool-smart-bed-price-features
Hacker News,,Autarc (YC S24) Is Hiring a Software Engineer to Fight Climate Change,Comments,We're looking for a senior full-stack software engineer based in Germany who wants to directly tackle climate change by building a local-first React/CapacitorJS/TypeScript/RxDB/Supabase app.We're aut… [+657 chars],2024-10-01T07:00:32Z,https://news.ycombinator.com/item?id=41705391
Gizmodo.com,Passant Rabie,Intense Flooding Expected as Florida Faces Possible Category 4 Hurricane Tonight,"Helene will make landfall Thursday evening, bringing about life-threatening conditions across the northwest coast.","An unusually large storm is headed towards the coast of Florida, gaining strength as it travels along the Gulf of Mexico before it’s predicted to make landfall on Thursday evening.
Hurricane Helene … [+2758 chars]",2024-09-26T19:53:01Z,https://gizmodo.com/intense-flooding-expected-as-florida-faces-possible-category-4-hurricane-tonight-2000503906
Time,Johan Rockström,Planet Earth Is in Critical Condition. These are the Steps the World Must Take to Change That,The Planetary Health Check is a key monitor of earth's vital signs—and will guide action for a more sustainable world.,"The results of the planets first annual physicala complete health checkare in, and they are alarming. We are deep into the yellow danger zone and moving rapidly towards the red high-risk zone, where … [+8467 chars]",2024-10-02T16:00:45Z,https://time.com/7027847/planet-earth-critical-condition-solutions/
NPR,Julia Simon,Eating less beef is a climate solution. Here's why that's hard for some American men,"Climate researchers have long grappled with how to get Americans to eat less beef, a food with a huge global warming impact. Now some are thinking about it through the lens of gender.","Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
In 2006, when Malcolm Regisford was… [+19961 chars]",2024-09-15T11:00:00Z,https://www.npr.org/2024/09/14/nx-s1-5003066/beef-climate-change-american-men-masculinity
Politicopro.com,"Ariel Wittenberg, E&E News","Hurricanes Helene’s Floods Swamped a Hospital, Highlighting Climate Threats to Health Care","Hurricane Helene forced dozens of medical facilities across the southern U.S. to evacuate patients, underscoring the human costs of climate change","CLIMATEWIRE | A dramatic helicopter evacuation of a Tennessee hospital Friday, as raging floodwaters from Hurricane Helene surrounded the building, underscores what health experts say are rising dang… [+10846 chars]",2024-10-02T18:45:00Z,https://subscriber.politicopro.com/article/eenews/2024/10/02/a-dangerous-rescue-helene-made-a-hospital-almost-inescapable-00181734
Yahoo Entertainment,,‘Short corn’ could replace the towering cornfields steamrolled by a changing climate,,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-23T14:01:39Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_70f6852b-b22b-4816-a1bc-5f299af0e211
